date,home,away,home_score,away_score,division
2026-08-29,Dayton,Fairmont St.,43,20,FCS
2026-08-29,West Virginia St.,Chowan,56,24,D2
2026-08-29,Davenport,Gannon,32,20,D2
2026-08-29,Wheeling,Thomas More,27,10,D2
2026-08-29,Chicago St.,Roosevelt,28,44,FCS
2026-08-29,Shippensburg,Lock Haven,16,24,D2
2026-08-29,West Va. Wesleyan,Post,31,13,D2
2026-08-29,American Int'l,Monroe,17,3,D2
2026-08-29,Elizabeth City St.,Fort Valley St.,14,17,D2
2026-08-29,Shorter,Andrew (GA),65,6,D2
2026-08-29,Bluefield Univ.,Erskine,20,37,D2
2026-08-29,Colo. Sch. of Mines,Western Ore.,20,22,D2
2026-08-29,Upper Iowa,Jamestown,30,13,D2
2026-08-29,Central St. (OH),Kentucky St.,14,41,D2
2026-08-29,Benedict,Johnson C. Smith,32,10,D2
2026-08-29,South Carolina St.,Savannah St.,87,0,FCS
2026-08-29,Norfolk St.,Winston-Salem,56,0,FCS
2026-08-29,Florida A&M,Albany St. (GA),20,7,FCS
2026-08-29,Fayetteville St.,Shaw,33,20,D2
2026-08-29,Ferrum,Catawba,7,13,D3
2026-08-29,Livingstone,Allen,16,37,D2
2026-08-29,Edward Waters,Fla. Memorial,42,28,D2
2026-08-29,Ark.-Pine Bluff,Morehouse,35,15,FCS
2026-08-29,Alcorn,Miles,56,7,FCS
2026-08-29,Grambling,Clark Atlanta,49,7,FCS
2026-08-29,Midwestern St.,Mo. Southern St.,30,23,D2
2026-08-29,Truman St.,Washburn,21,27,D2
2026-08-29,Bethel (TN),Lane,16,3,D2
2026-08-29,Lincoln (MO),Central Methodist,27,11,D2
2026-08-29,UTRGV,UT Permian Basin,44,0,FCS
2026-08-29,Tex. A&M-Kingsville,Northwest Mo. St.,3,48,D2
2026-08-29,Sul Ross St.,Wayland Baptist,20,34,D2
2026-08-30,Tuskegee,West Ala.,17,27,D2
2026-09-03,Fairmont St.,Bloomsburg,13,35,D2
2026-09-03,Assumption,Kutztown,35,56,D2
2026-09-03,Carson-Newman,Thomas (GA),44,0,D2
2026-09-03,Clarion,West Va. Wesleyan,52,14,D2
2026-09-03,Wayne St. (MI),Northwood,0,52,D2
2026-09-03,California (PA),Charleston (WV),49,24,D2
2026-09-03,Glenville St.,Millersville,24,21,D2
2026-09-03,Southern Nazarene,Henderson St.,21,57,D2
2026-09-03,Valdosta St.,Warner,59,10,D2
2026-09-03,Minn. Duluth,Augustana (SD),30,23,D2
2026-09-03,Edinboro,Ohio Dominican,38,36,D2
2026-09-03,MSU Moorhead,Concordia-St. Paul,48,30,D2
2026-09-03,Grand Valley St.,West Tex. A&M,56,14,D2
2026-09-03,Harding,Northwestern Okla.,76,0,D2
2026-09-03,Northern St.,Winona St.,31,16,D2
2026-09-03,Ashland,Indiana (PA),24,34,D2
2026-09-03,Minot St.,Wayne St. (NE),28,35,D2
2026-09-03,Ark.-Monticello,Southeastern Okla.,12,21,D2
2026-09-03,Western N.M.,N.M. Highlands,32,55,D2
2026-09-03,Central Mo.,Missouri Western,49,10,D2
2026-09-03,Okla. Baptist,Southern Ark.,38,20,D2
2026-09-03,Fort Hays St.,CSU Pueblo,17,35,D2
2026-09-03,Arkansas Tech,Southwestern Okla.,26,20,D2
2026-09-03,Ouachita Baptist,East Central,17,27,D2
2026-09-03,Western Colo.,Angelo St.,23,21,D2
2026-09-03,Chadron St.,Neb.-Kearney,24,21,D2
2026-09-04,Washburn,Colo. Sch. of Mines,16,16,D2
2026-09-04,Ferris St.,Bentley,38,3,D2
2026-09-04,Marist,Franklin Pierce,27,18,FCS
2026-09-04,Pace,East Stroudsburg,26,37,D2
2026-09-05,Sul Ross St.,Adams St.,53,26,D2
2026-09-05,Washburn,Colo. Sch. of Mines,16,16,D2
2026-09-05,Wagner,Southern Conn. St.,31,7,FCS
2026-09-05,Michigan Tech,Midwestern St.,48,27,D2
2026-09-05,Hillsdale,McKendree,55,24,D2
2026-09-05,Virginia St.,Bowie St.,42,13,D2
2026-09-05,Davenport,Truman St.,28,14,D2
2026-09-05,Shepherd,Frostburg St.,34,26,D2
2026-09-05,Morehouse,Clark Atlanta,21,31,D2
2026-09-05,Southern Ore.,Western Ore.,35,65,D2
